0,1,2,3,4,5
,,5.4,10−4,Equatio,"Sacks et al., 2009"
WN,A California Central Valle,y 2.6,10−5,90 years,"Lo and Famiglietti, 2013"
,,2.4,10−4,2007b,"Sorooshian et al., 2011"
,,2.4,10−4,2000–201,"Yang et al., 2017"
,,4.7,10−7,1981–201,"Thiery et al., 2017"
CN,A Central Great Plain,s 1.4,10−3,"2006b , 2008b","Lawston et al., 2015"
,Ogalla Aquife,r,10−4,Multipl,"Harding et al., 2015"
,,5.7,10−7,1981–201,"Thiery et al., 2017"
WNA + CNA + EN,A Continental United State,s,10−4,2002–201,"Lu et al., 2015"
,,,10−3,2012,"Pei et al., 2016"
