0,1,2,3,4,5
EA,S China - upland crops,"10−4
4.2","10−4
4.2",2004-201,"Liu et al., 2021"
,China - Southern part,"10−4
6.3","10−4
6.3",2004–201,"Liu et al., 2021"
,China - upland crops,"10−5
up to 2.3","10−5
up to 2.3",2001–201,"Yang et al., 2016"
,China - Southern part,"10−5
up to 2.3","10−5
up to 2.3",2001–201,"Yang et al., 2016"
,,2.3,10−5,as Sacks et al. (2009,"Lee and Ngan, 2011"
,,3.1,10−7,1981–201,"Thiery et al., 2017"
ME,D Northern Ital,y 5.2,10−4,2015b,"Valmassoi et al., 2020c"
,,9.2,10−6,as Sacks et al. (2009,"Lee and Ngan, 2011"
,,1.9,10−6,1981–201,"Thiery et al., 2017"
,Turkey-Syri,1.4,10−4,2000,"Evans and Zaitchik, 2008"
,Turke,1.3,10−4,2000,"Ozdogan et al., 2006"
WA,F Niger rive,r 3.4,10−5,1985–199,"Marcella and Eltahir, 2014"
WA,S,1.3,10−6,1981–201,"Thiery et al., 2017"
SA,U South-Eastern Australi,"10−5
a 1.6
2.1","10−5
a 1.6
2.1",2005–201,"Decker et al., 2017"
