Global,1.5  5.3 · 10−5,19722004,"Leng et al., 2017"
5.3 · 10−6,2000,"Krakauer et al., 2016"
5.4 · 10−4,Equationf,"Sacks et al., 2009"
WNA,California Central Valley,2.6 · 10−5 a,90 years,"Lo and Famiglietti, 2013"
2.4 · 10−4,2007b,"Sorooshian et al., 201 1"
2.4 · 10−4,20002010,"Yang et al., 2017"
&,4.7 · 10−7,19812010,"Thiery et al., 2017"
CNA,Central Great Plains,1.4 · 10−3,"2006b, 2008b","Lawston et al., 2015"
Ogalla Aquifer,2 · 10−4,Multiple g,"Harding et al., 2015"
=,5.7 · 10−7,1981-2010,"Thiery et al., 2017"
WNA + CNA + ENA,Continental United States,2 · 10−4,2002−2011,"Lu et al., 2015"
5 · 10−3,2012 b,"Pei et al., 2016"
China - upland crops c,4.2 · 10−4,2004-2013,"Liu et al., 2021"
China - Southern part c,6.3 · 10−4,20042013,"Liu et al., 2021"
China - upland crops c,up to 2.3 · 10−5,2001-2010,"Yang et al., 2016"
China - Southern part c,up to 2.3 · 10−5,20012010,"Yang et al., 2016"
2.3 · 10−5,as Sacks et al. (2009),"Lee and Ngan, 2011"
-,3.1 · 10−7,1981-2010,"Thiery et al., 2017"
MED,Northern Italy,5.2 · 10−4,2015b,"Valmassoi et al., 2020c"
=,9.2 · 10−6,asSacks et al. (2009),"Lee and Ngan, 2011"
-,1.9 · 10−6,1981-2010,"Thiery et al., 2017"
Turkey-Syria,a,1.4 · 10−4,2000,"Evans and Zaitchik, 2008"
Turkey,1.3 · 10−4,2000,"Ozdogan et al., 2006"
WAF,Niger river,3.4 · 10−5,19851990,"Marcella and Eltahir, 2014"
-,1.3 · 10−6,1981-2010,"Thiery et al., 2017"
South-Eastern Australia,1.6  2.1 · 10−5,20052011,"Decker et al., 2017"
India,5.8 · 10−6,AMIPe,"de Vrese et al., 2018"
India,3.5 · 10−5,asSacks et al. (2009),"Lee and Ngan, 2011"
East Ganges,1.8 · 10−5,19902000,"Tuinenburg et al., 2014"
West Ganges,2.7 · 10−5,19902000,"Tuinenburg et al., 2014"
-,4.8 · 10−6,1981-2010,"Thiery et al., 2017"
