0,1,2,3
Variables used to define irrigated,Administrative,Administrative,AEI separated
area by source of irrigation water,units (number),units (%),into groundwater
,,,and surface water
,,,supply (%)
Area equipped for irrigation with,554,3.7,38.6
"groundwater, surface water or water",,,
from non-conventional sources,,,
Area actually irrigated with,1185,7.9,36.7
"groundwater, surface water or water",,,
from non-conventional sources,,,
Irrigation water use from,7274,48.4,17.3
"groundwater, surface water or",,,
non-conventional water sources,,,
Other data or own estimate,5984,39.8,7.3
No irrigation,41,0.3,0.0
Total,15 038,100.0,100.0
