0,1,2,3,4,5,6,7
"Continent, region or sub-region","AEI
(ha)","AEI GW
(ha)","AEI GW
(%)","AAI TOT
(ha)","AAI GW
(ha)","ICWU
(Mm3 yr−1 )","ICWU GW
(Mm3 yr−1 )"
Africa,13 576 142,2 505 954,18.5,11 527 882,2 157 978,98 251,17 863
Northern Africa,6 377 826,2 092 196,32.8,6 017 624,1 817 844,65 365,15 685
Sub-Saharan Africa,7 198 316,413 758,5.7,5 510 258,340 134,32 886,2178
Central Africa,132 439,17 000,12.8,81 893,8000,464,50
Eastern Africa,622 059,21 285,3.4,612 617,21 190,2922,117
Gulf of Guinea,593 357,86 545,14.6,484 661,82 829,2182,426
Indian Ocean Islands,1 119 903,7 711,0.7,1 109 247,6822,2881,21
Southern Africa,2 063 428,157 991,7.7,1 925 095,151 369,11 478,908
Sudano-Sahelian,2 667 130,123 226,4.6,1 296 745,69 923,12 958,655
America,48 903 652,21 548 173,44.1,39 556 109,17 621 335,224 238,107 358
Central America and Caribbean,1 895 292,683 462,36.1,1 054 535,324 967,4179,1252
Caribbean – Greater Antilles,1 332 107,527 271,39.6,547 587,186 845,1743,519
Caribbean – Lesser Antilles,19 609,2549,13.0,12 616,1919,23,3
Central America,543 576,153 642,28.3,494 332,136 203,2413,730
Northern America,35 456 548,19 147 423,54.0,28 930 359,15 738 211,185 783,99 885
Mexico,6 418 803,2 489 785,38.8,5 648 547,2 191 011,27 163,11 386
Northern America,29 037 745,16 657 638,57.4,23 281 812,13 547 200,158 619,88 498
Southern America,11 551 811,1 717 288,14.9,9 571 215,1 558 158,34 276,6221
Andean,4 180 641,660 447,15.8,3 493 609,560 205,13 664,2619
Brazil,3 149 217,591 439,18.8,3 149 217,591 439,9576,2154
Guyana,207 348,302,0.1,207 038,286,431,< 0.5
Southern America,4 014 606,465 100,11.6,2 721 351,406 227,10 606,1447
Asia,211 796 335,80 582 458,38.0,185 139 307,72 531 008,890 679,398 631
Central Asia,14 673 971,1 149 245,7.8,11 787 249,780 969,67 696,4719
Middle East,23 562 117,10 838 415,46.0,17 749 167,9 059 714,130 813,71 261
Arabian Peninsula,2 791 906,2 467 433,88.4,2 221 846,1 938 015,23 559,20 759
Caucasus,2 132 320,147 577,6.9,1 402 060,107 329,6696,501
Islamic Republic of Iran,8 297 031,5 151 186,62.1,6 423 342,3 987 912,47 039,30 153
Near East,10 340 860,3 072 219,29.7,7 701 919,3 026 457,53 519,19 848
Southern and Eastern Asia,173 560 247,68 594 798,39.5,155 602 891,62 690 325,692 169,322 651
East Asia,67 625 487,19 330 590,28.6,58 263 052,16 351 657,167 433,57 515
Mainland Southeast Asia,12 517 821,627 118,5.0,11 066 386,613 263,37 294,2528
Maritime Southeast Asia,8 310 648,343 920,4.1,8 294 895,343 605,23 429,755
South Asia,85 106 292,48 293 169,56.7,77 978 559,45 381 801,464 013,261 852
Europe,22 651 784,7 349 929,32.4,13 301 498,4 816 935,47 885,18 206
Eastern Europe,4 898 893,493 257,10.1,1 708 100,342 734,4983,861
Eastern Europe,2 523 793,18 237,0.7,768 900,4622,2606,6
Russian Federation,2 375 100,475 020,20.0,939 200,338 112,2377,856
Western and Central Europe,17 752 891,6 856 671,38.6,11 593 398,4 474 201,42 902,17 344
Central Europe,2 418 969,302 049,12.5,909 437,118 233,1986,264
Mediterranean Europe,10 375 898,3 920 338,37.8,7 942 875,2 963 597,36 486,15 179
Northern Europe,859 696,520 927,60.6,313 280,224 467,119,66
Western Europe,4 098 328,2 113 358,51.6,2 427 806,1 167 904,4310,1836
Oceania,3 967 179,949 921,23.9,3 054 250,693 923,15 880,3301
Australia and New Zealand,3 962 741,949 172,24.0,3 049 812,693 174,15 880,3301
Other Pacific Islands,4438,749,16.9,4 438,749,< 0.5,< 0.5
WORLD,300 895 091,112 936 434,37.5,252 579 046,97 821 180,1 276 932,545 359
