0,1,2,3,4
"WHYMAP aquifer
classification","Groundwater re-
charge (mm yr−1 )",AS (%),AEI (%),AEI GW (%)
Major groundwater basin,< 2,6.3,4.4,3.2
Major groundwater basin,2–20,8.0,12.0,13.6
Major groundwater basin,20–100,8.0,20.5,28.9
Major groundwater basin,100–300,8.7,17.6,18.3
Major groundwater basin,> 300,4.3,1.7,1.2
Major groundwater basin,Total,35.5,56.2,65.0
Area with complex,2–20,5.8,5.3,4.4
hydrogeological structure,,,,
Area with complex,20–100,5.7,11.3,15.0
hydrogeological structure,,,,
Area with complex,100–300,4.9,7.0,5.0
hydrogeological structure,,,,
Area with complex,> 300,1.3,0.9,0.2
hydrogeological structure,,,,
Area with complex,Total,17.7,24.4,24.6
hydrogeological structure,,,,
Area with local and shallow,< 100,31.0,10.7,7.9
aquifers,,,,
Area with local and shallow,> 100,15.9,8.7,2.5
aquifers,,,,
Area with local and shallow,Total,46.8,19.4,10.4
aquifers,,,,
Ice-free land,Total,100.0,100.0,100.0
