inent,regionorsub-region,AEI,AEI GW AEI,GW,AAI TOT,AAI GW,ICWU ICW,U GW
,(ha),(ha) (%,),(ha),(ha) (M,m3yr −1) (Mm,3yr −1)
,,,,,,,
a,13576142,2505954,18.5,11527882,2157978,98251,17863
orthernAfrica,6377826,2092196,32.8,6017624,1817844,65365,15685
b-SaharanAfrica,7198316,413758,5.7,5510258,340134,32886,2178
CentralAfrica,132439,17000,12.8,81893,8000,464,50
EasternAfrica,622059,21285,3.4,612617,21190,2922,117
GulfofGuinea,593357,86545,14.6,484661,82829,2182,426
IndianOceanIslands,1119903,7711,0.7,1109247,6822,2881,21
SouthernAfrica,2063428,157991,7.7,1925095,151369,11478,908
Sudano-Sahelian,2667130,123226,4.6,1296745,69923,12958,655
,,,,,,,
rica,48903652,21548173,44.1,39556109,17621335,224238,107358
ntralAmericaandCaribbean,1895292,683462,36.1,1054535,324967,4179,1252
Caribbean–GreaterAntilles,1332107,527271,39.6,547587,186845,1743,519
Caribbean–LesserAntilles,19609,2549,13.0,12616,1919,23,3
CentralAmerica,543576,153642,28.3,494332,136203,2413,730
orthernAmerica,35456548,19147423,54.0,28930359,15738211,185783,99885
Mexico,6418803,2489785,38.8,5648547,2191011,27163,11386
NorthernAmerica,29037745,16657638,57.4,23281812,13547200,158619,88498
uthernAmerica,11551811,1717288,14.9,9571215,1558158,34276,6221
Andean,4180641,660447,15.8,3493609,560205,13664,2619
Brazil,3149217,591439,18.8,3149217,591439,9576,2154
Guyana,207348,302,0.1,207038,286,431,<0.5
SouthernAmerica,4014606,465100,11.6,2721351,406227,10606,1447
,,,,,,,
,211796335,80582458,38.0,185139307,72531008,890679,398631
ntralAsia,14673971,1149245,7.8,11787249,780969,67696,4719
iddleEast,23562117,10838415,46.0,17749167,9059714,130813,71261
ArabianPeninsula,2791906,2467433,88.4,2221846,1938015,23559,20759
Caucasus,2132320,147577,6.9,1402060,107329,6696,501
IslamicRepublicofIran,8297031,5151186,62.1,6423342,3987912,47039,30153
NearEast,10340860,3072219,29.7,7701919,3026457,53519,19848
uthernandEasternAsia,173560247,68594798,39.5,155602891,62690325,692169,322651
EastAsia,67625487,19330590,28.6,58263052,16351657,167433,57515
MainlandSoutheastAsia,12517821,627118,5.0,11066386,613263,37294,2528
MaritimeSoutheastAsia,8310648,343920,4.1,8294895,343605,23429,755
SouthAsia,85106292,48293169,56.7,77978559,45381801,464013,261852
,,,,,,,
pe,22651784,7349929,32.4,13301498,4816935,47885,18206
sternEurope,4898893,493257,10.1,1708100,342734,4983,861
EasternEurope,2523793,18237,0.7,768900,4622,2606,6
RussianFederation,2375100,475020,20.0,939200,338112,2377,856
esternandCentralEurope,17752891,6856671,38.6,11593398,4474201,42902,17344
CentralEurope,2418969,302049,12.5,909437,118233,1986,264
MediterraneanEurope,10375898,3920338,37.8,7942875,2963597,36486,15179
NorthernEurope,859696,520927,60.6,313280,224467,119,66
WesternEurope,4098328,2113358,51.6,2427806,1167904,4310,1836
,,,,,,,
nia,3967179,949921,23.9,3054250,693923,15880,3301
ustraliaandNewZealand,3962741,949172,24.0,3049812,693174,15880,3301
herPacificIslands,4438,749,16.9,4438,749,<0.5,<0.5
,,,,,,,
RLD,300895091,112936434,37.5,252579046,97821180,1276932,545359
