Country,Unnamed: 0,EUROSTAT,Unnamed: 1,This inventory
,Reference,Groundwater abstraction,AAI GW,ICWU GW
,year,for irrigation,,
,,(% of total (Mm3 yr−1),(% of total,(% of total (Mm3 yr−1)
,,water ab-,AAI),ICWU)
,,straction for,,
,,irrigation),,
Turkey,2003,18.4 6073,49.3,50.4 9390
Portugal,1998,64.0 4193,54.9,54.5 731
Spain,2003,15.8 3859,37.1,39.3 7714
Greece,2003,40.0 3413,48.1,50.5 3605
France,2003,26.9 1482,44.6,40.4 1566
Cyprus,2003,70.3 126,59.7,59.7 203
Germany,2002,76.8 109,78.8,76.2 153
Austria,1999,100.0 68,83.2,84.0 27
The Netherlands,1999,76.3 58,58.0,54.7 29
Sweden,2003,20.2 19,34.1,35.3 17
Hungary,2003,9.9 17,22.0,21.7 68
Bulgaria,2003,0.7 5,22.6,22.3 49
Macedonia,2003,1.2 5,6.3,6.3 22
Norway,2003,6.0 4,5.8,5.7 1
Romania,2003,0.2 2,8.6,8.2 75
Lithuania,2004,66.7 1,73.7,73.7 1
Slovenia,2003,4.7 < 0.5,10.7,10.7 < 0.5
Czech Republic,2003,0.5 < 0.5,6.9,6.3 1
